rfid,nom,prenom,date_naissance,date_embauche,email,telephone,adresse,equipe_id,poste_id,date_id,nom_equipe,description_x,chef_equipe,titre_poste,niveau_competence,description_y,requirements,tenure_years
2E6290D7,Baudry,Benoît,1970-03-20,2024-03-06,benoît.baudry@company.com,0361482581,"76, rue Roux, 60796 Morvandan",4,12,366.0,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,1.1
31C45716,Dupré,Audrey,1998-03-13,2016-03-08,audrey.dupré@company.com,05 46 24 63 99,"21, rue Lucas Pires, 94528 Coste-les-Bains",1,2,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,9.1
32A826CA,Riou,Hortense,1981-03-17,2022-03-07,hortense.riou@company.com,+33 (0)4 77 32 94 29,"avenue François Hamon, 47706 Saint Astrid",6,11,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Junior,Tâches administratives de base,Formation administrative,3.1
34F1339F,Navarro,Xavier,1963-03-22,2015-03-09,xavier.navarro@company.com,03 56 60 50 60,"avenue Barthelemy, 61673 Sainte Xavier",6,9,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,10.1
3A109213,Launay,Vincent,1994-03-14,2020-03-07,vincent.launay@company.com,0277573922,"754, chemin Leclercq, 26851 BourgeoisBourg",6,8,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,5.1
3CA88EAB,Cohen,Honoré,2004-03-11,2022-03-07,honoré.cohen@company.com,+33 (0)6 34 31 98 98,"avenue de Weiss, 21722 Saint Daviddan",1,9,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,3.1
3D501FF1,Pascal,François,1970-03-20,2019-03-08,françois.pascal@company.com,+33 (0)4 11 26 04 30,"11, rue de Maréchal, 38129 Marty",2,4,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Débutant,Maintenance préventive,Formation technique,6.1
42EB8E8A,Bonnin,Margaud,1994-03-14,2019-03-08,margaud.bonnin@company.com,0491777461,"67, chemin de Joubert, 71824 Bazin",1,10,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Manager,Senior,Direction stratégique,5 ans d'expérience en management,6.1
449D882D,Guyon,Nathalie,1980-03-17,2015-03-09,nathalie.guyon@company.com,04 34 53 36 33,"59, boulevard Marchand, 57780 Bourgeois-sur-Mer",7,12,,Équipe Informatique,Support IT et développement,Lucas Moreau,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,10.1
48D9D907,Berger,Zacharie,1965-03-21,2021-03-07,zacharie.berger@company.com,+33 (0)1 79 37 95 63,"86, rue Legros, 31463 Saint Georges",6,5,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,4.1
4C9A8D70,Guérin,Alice,1977-03-18,2018-03-08,alice.guérin@company.com,02 50 00 31 43,"55, rue Brigitte Picard, 11338 Fontaine-sur-Neveu",7,8,,Équipe Informatique,Support IT et développement,Lucas Moreau,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,7.1
4DA574D3,Guibert,Guy,1983-03-17,2017-03-08,guy.guibert@company.com,05 32 76 72 65,"86, rue Gonzalez, 05590 Moulin-les-Bains",5,9,,Équipe R&D,Recherche et développement,Thomas Petit,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,8.1
52DF7543,Renard,Antoine,1974-03-19,2022-03-07,antoine.renard@company.com,+33 (0)5 81 78 95 91,"64, avenue Nicole Pascal, 43601 Leroydan",7,10,,Équipe Informatique,Support IT et développement,Lucas Moreau,Manager,Senior,Direction stratégique,5 ans d'expérience en management,3.1
538F75C9,Lecomte,Suzanne,1996-03-13,2016-03-08,suzanne.lecomte@company.com,+33 2 99 00 02 36,"7, rue Olivie Lucas, 80647 Saint Corinne",5,10,,Équipe R&D,Recherche et développement,Thomas Petit,Manager,Senior,Direction stratégique,5 ans d'expérience en management,9.1
5514690C,Ferrand,Anouk,1986-03-16,2020-03-07,anouk.ferrand@company.com,03 45 16 06 01,"45, rue de Adam, 20759 Saint Monique",7,5,,Équipe Informatique,Support IT et développement,Lucas Moreau,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,5.1
558E6983,Lenoir,Madeleine,2003-03-12,2016-03-08,madeleine.lenoir@company.com,0474475394,"33, chemin Marcelle Perrin, 95946 Sainte Alain-les-Bains",1,2,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,9.1
55E61BDF,Charpentier,David,1967-03-21,2019-03-08,david.charpentier@company.com,+33 3 45 13 86 10,"29, avenue de Hernandez, 53604 Nguyen",6,11,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Junior,Tâches administratives de base,Formation administrative,6.1
59281557,Bailly,Alexandre,2003-03-12,2017-03-08,alexandre.bailly@company.com,+33 1 76 54 09 43,"8, boulevard de Berger, 55868 Saint Monique-les-Bains",2,8,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,8.1
5A934EE9,Charpentier,Alain,1973-03-19,2021-03-07,alain.charpentier@company.com,0581526913,"31, boulevard Thomas Chauvet, 47367 Sauvage",2,6,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,4.1
5BD8E751,Jacques,Antoinette,1990-03-15,2016-03-08,antoinette.jacques@company.com,+33 (0)5 61 46 90 86,"avenue de Delaunay, 27171 Lecomtedan",5,2,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,9.1
5ED9978E,Gaudin,Clémence,1973-03-19,2016-03-08,clémence.gaudin@company.com,+33 (0)2 23 05 84 83,"784, boulevard Anastasie Chauveau, 94965 Joseph",3,9,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,9.1
62BE0CF6,Collet,Maurice,1987-03-16,2018-03-08,maurice.collet@company.com,0351559242,"7, rue Maillet, 01170 Morin",2,6,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,7.1
65442,yosra,th,2003-05-20,2025-03-21,yosra@gmail.com,53654792,soifhsdq,6,12,2150.0,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,0.0
69E46180,Louis,Thibault,1995-03-14,2018-03-08,thibault.louis@company.com,0141372929,"boulevard Luc Bigot, 71253 Saint Dominiquedan",1,1,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Opérateur,Débutant,Opération des machines de base,Formation technique de base,7.1
6A086E06,Guibert,Marianne,1963-03-22,2022-03-07,marianne.guibert@company.com,+33 4 11 48 95 81,"33, avenue de Rémy, 29290 LebrunVille",1,11,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Administratif,Junior,Tâches administratives de base,Formation administrative,3.1
6B7F768A,Laine,Sabine,1965-03-21,2018-03-08,sabine.laine@company.com,+33 (0)3 45 42 61 83,"892, avenue Théophile Marchand, 13569 Antoine-les-Bains",2,1,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Opérateur,Débutant,Opération des machines de base,Formation technique de base,7.1
74D096F3,Jacob,Chantal,2002-03-12,2019-03-08,chantal.jacob@company.com,03 54 52 09 36,"68, rue Teixeira, 74598 Saint Pénélope",3,2,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,6.1
777,solatani,oumaima,2003-07-14,2015-06-18,omaima-solotani@gmail.com,99450544,ben arrous,4,4,1147.0,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Technicien,Débutant,Maintenance préventive,Formation technique,9.8
77EB6765,Dumont,Vincent,1988-03-15,2021-03-07,vincent.dumont@company.com,+33 4 80 85 86 20,"9, rue Benoît Faure, 97471 Barre",4,7,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Ingénieur,Junior,Support technique et analyses,Diplôme d'ingénieur,4.1
80306102,Boucher,Jérôme,1972-03-19,2022-03-07,jérôme.boucher@company.com,+33 4 93 71 53 91,"3, boulevard Chrétien, 25892 Antoine",2,6,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,3.1
81823DA9,Baudry,Arnaude,1986-03-16,2023-03-07,arnaude.baudry@company.com,+33 (0)5 96 33 63 21,"92, rue Charpentier, 58843 Aubertdan",6,2,1.0,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,2.1
8204AE80,Becker,Audrey,1996-03-13,2018-03-08,audrey.becker@company.com,+33 3 73 14 80 55,"66, rue Inès Blot, 44388 Sainte Hélène",3,9,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,7.1
82FC5730,Prévost,Andrée,2003-03-12,2024-03-06,andrée.prévost@company.com,05 86 66 17 42,"boulevard de Cordier, 08539 Gosselin-sur-Marin",4,10,366.0,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Manager,Senior,Direction stratégique,5 ans d'expérience en management,1.1
844D4B6E,Maillot,Margot,1961-03-22,2024-03-06,margot.maillot@company.com,02 85 48 16 61,"572, boulevard de Joubert, 58850 RocherVille",4,2,366.0,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,1.1
84C5FF7F,Descamps,Franck,1963-03-22,2015-03-09,franck.descamps@company.com,+33 5 62 18 90 53,"3, boulevard Collet, 88741 Grenierboeuf",5,12,,Équipe R&D,Recherche et développement,Thomas Petit,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,10.1
897412,karma,word,2003-09-11,2024-06-11,karma@gmail.com,26653671,arina,6,12,1149.0,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,0.8
8994344B,Pasquier,Margot,1998-03-13,2017-03-08,margot.pasquier@company.com,+33 (0)2 85 59 50 85,"72, boulevard de Lenoir, 97369 Sainte Augustinnec",2,8,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,8.1
8AD70F05,Jourdan,Robert,1981-03-17,2022-03-07,robert.jourdan@company.com,+33 3 65 93 59 33,"11, rue Bourgeois, 19578 Klein",1,8,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,3.1
8DE7F164,Besson,Luce,1989-03-15,2022-03-07,luce.besson@company.com,+33 (0)2 31 68 62 94,"68, avenue Alexandre Collet, 25378 DeschampsVille",5,2,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,3.1
8E4205CF,Hamon,Marine,1997-03-13,2015-03-09,marine.hamon@company.com,01 78 23 84 62,"53, chemin Gautier, 22340 Godard",1,4,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Technicien,Débutant,Maintenance préventive,Formation technique,10.1
90628A19,Bertin,Capucine,1971-03-20,2019-03-08,capucine.bertin@company.com,04 92 33 20 35,"855, boulevard Thomas, 45389 Mendès",5,3,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,6.1
972BF9A6,Fleury,Agnès,1960-03-22,2015-03-09,agnès.fleury@company.com,+33 2 30 91 43 17,"4, boulevard Coste, 35424 Lagarde-sur-Gaillard",3,10,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Manager,Senior,Direction stratégique,5 ans d'expérience en management,10.1
974E2277,Gauthier,Adèle,1968-03-20,2017-03-08,adèle.gauthier@company.com,+33 4 92 15 13 57,"53, rue de Devaux, 26738 Sainte Pauline",6,4,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Technicien,Débutant,Maintenance préventive,Formation technique,8.1
9954551,solatani,oumaima,2004-06-13,2025-03-18,omaima@gmail.com,+216 95475211,ben arous,7,8,1150.0,Équipe Informatique,Support IT et développement,Lucas Moreau,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,0.0
9AD3D988,Carlier,Alix,1961-03-22,2021-03-07,alix.carlier@company.com,01 40 70 21 81,"45, rue Duval, 06997 Sainte AnneVille",5,3,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,4.1
9DA06D59,Couturier,Maurice,1962-03-22,2019-03-08,maurice.couturier@company.com,+33 (0)6 95 20 28 37,"88, chemin Valérie Camus, 97274 Dupont",4,6,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,6.1
9DD38CD2,Lemonnier,Antoine,1970-03-20,2024-03-06,antoine.lemonnier@company.com,0247186295,"29, boulevard de Ramos, 71635 Moulin",3,3,366.0,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,1.1
9E17857D,Paul,Louis,1961-03-22,2025-03-06,louis.paul@company.com,0587806626,"251, rue de Rémy, 97336 Bigot-sur-Mer",2,12,731.0,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,0.1
A0D4600F,Hoareau,Maryse,1965-03-21,2020-03-07,maryse.hoareau@company.com,+33 5 35 51 81 37,"37, rue Jeanne Leclercq, 56522 Fernandez-sur-Mendès",5,1,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Débutant,Opération des machines de base,Formation technique de base,5.1
A1CA0176,Gomes,Martine,1998-03-13,2020-03-07,martine.gomes@company.com,0219788650,"32, rue de Pasquier, 67550 Joseph",3,8,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,5.1
A888C7E4,Pages,Cécile,1999-03-13,2023-03-07,cécile.pages@company.com,+33 2 43 98 28 76,"4, boulevard Delannoy, 13356 Fournier",7,9,1.0,Équipe Informatique,Support IT et développement,Lucas Moreau,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,2.1
A8DCDD73,Pineau,Xavier,1964-03-21,2022-03-07,xavier.pineau@company.com,0248228334,"4, rue Frédérique Hernandez, 66412 Collet-la-Forêt",1,12,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,3.1
AABFC64C,Bouchet,Nicole,1967-03-21,2023-03-07,nicole.bouchet@company.com,+33 (0)3 20 97 16 59,"22, chemin Brunet, 63210 Munoz",5,3,1.0,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,2.1
AF50A989,Gérard,Noël,1992-03-14,2021-03-07,noël.gérard@company.com,+33 (0)2 79 52 56 37,"743, chemin Bonneau, 95711 Sainte Marguerite",1,9,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,4.1
B35F27C2,Berger,Thomas,1990-03-15,2022-03-07,thomas.berger@company.com,03 70 03 87 16,"11, rue Hubert, 53506 Launaynec",7,2,,Équipe Informatique,Support IT et développement,Lucas Moreau,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,3.1
B686A816,Godard,Pierre,2003-03-12,2017-03-08,pierre.godard@company.com,+33 3 62 21 36 10,"rue de Collet, 65441 LefebvreVille",4,12,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,8.1
B7CCABA4,Poulain,Nathalie,1990-03-15,2015-03-09,nathalie.poulain@company.com,02 18 96 65 16,"19, avenue Denise Bousquet, 89198 Bouvier",5,10,,Équipe R&D,Recherche et développement,Thomas Petit,Manager,Senior,Direction stratégique,5 ans d'expérience en management,10.1
B9CA2237,Perrot,Aimée,1963-03-22,2021-03-07,aimée.perrot@company.com,+33 (0)3 89 35 05 00,"55, avenue Luce Leleu, 16118 Royer",2,6,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,4.1
BB8D59DA,Guillon,Jeannine,2004-03-11,2024-03-06,jeannine.guillon@company.com,+33 (0)5 57 49 07 10,"687, rue Fontaine, 66325 Gay-les-Bains",1,6,366.0,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,1.1
BE5C1140,Guyot,Élise,1988-03-15,2019-03-08,élise.guyot@company.com,+33 (0)5 94 84 28 99,"28, avenue Peltier, 17913 Gauthier-sur-Gaudin",5,7,,Équipe R&D,Recherche et développement,Thomas Petit,Ingénieur,Junior,Support technique et analyses,Diplôme d'ingénieur,6.1
C0012615,Dumas,François,1968-03-20,2025-03-06,françois.dumas@company.com,+33 2 55 12 18 26,"rue Barre, 16277 Martineau",1,12,731.0,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,0.1
C24DDCBE,Ramos,Alphonse,1998-03-13,2020-03-07,alphonse.ramos@company.com,01 30 73 66 81,"chemin Marcel Lacombe, 81907 Vincent-sur-Didier",1,8,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,5.1
C4D80C2C,Bailly,Cécile,1991-03-15,2018-03-08,cécile.bailly@company.com,03 68 36 86 59,"35, rue Rossi, 23752 Traoredan",2,8,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,7.1
C738F9E4,Lecomte,Claudine,1980-03-17,2022-03-07,claudine.lecomte@company.com,+33 (0)4 95 80 23 03,"37, rue de Chevallier, 30185 FontaineVille",1,2,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,3.1
CA540B46,Marty,Victoire,1972-03-19,2019-03-08,victoire.marty@company.com,03 79 01 06 19,"424, rue Duhamel, 02645 CourtoisBourg",5,11,,Équipe R&D,Recherche et développement,Thomas Petit,Administratif,Junior,Tâches administratives de base,Formation administrative,6.1
CD232CCD,Salmon,Joséphine,1983-03-17,2016-03-08,joséphine.salmon@company.com,+33 (0)4 67 21 34 28,"28, chemin Le Gall, 14440 Fabre-sur-Mer",7,7,,Équipe Informatique,Support IT et développement,Lucas Moreau,Ingénieur,Junior,Support technique et analyses,Diplôme d'ingénieur,9.1
D411A229,Ribeiro,Élise,1973-03-19,2015-03-09,élise.ribeiro@company.com,+33 2 57 80 33 31,"76, rue de Leclercq, 97225 Sainte Augustin",6,10,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Manager,Senior,Direction stratégique,5 ans d'expérience en management,10.1
D7B18E2D,Loiseau,Isaac,1978-03-18,2021-03-07,isaac.loiseau@company.com,06 60 39 03 60,"3, rue Maggie Muller, 37492 Sainte Marinedan",4,4,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Technicien,Débutant,Maintenance préventive,Formation technique,4.1
D8F598B3,Delaunay,Luc,1991-03-15,2017-03-08,luc.delaunay@company.com,05 62 22 78 63,"83, chemin Gilles Langlois, 26301 MichaudBourg",6,11,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Junior,Tâches administratives de base,Formation administrative,8.1
DC1DE6D7,Rousset,André,1970-03-20,2015-03-09,andré.rousset@company.com,+33 (0)3 79 96 22 25,"87, boulevard de Fouquet, 36525 Bouvet",5,2,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,10.1
DC4AA013,Ferreira,Luc,1985-03-16,2015-03-09,luc.ferreira@company.com,+33 2 57 53 10 60,"468, rue Guilbert, 97258 Ferreira",3,10,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Manager,Senior,Direction stratégique,5 ans d'expérience en management,10.1
E5C4CF05,Carlier,Margaret,1982-03-17,2019-03-08,margaret.carlier@company.com,+33 5 94 67 24 64,"49, rue Virginie Robin, 69436 Saint Laurenceboeuf",4,5,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,6.1
EAC774F7,Guérin,David,1997-03-13,2021-03-07,david.guérin@company.com,+33 2 98 27 03 46,"rue Lucy Hernandez, 09833 Rossi-sur-Mer",2,12,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,4.1
EB06CB54,Peltier,Alix,1982-03-17,2018-03-08,alix.peltier@company.com,04 78 87 48 17,"5, avenue de Delorme, 63298 Roussel",4,9,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,7.1
EC6E9396,Bazin,Mathilde,1964-03-21,2018-03-08,mathilde.bazin@company.com,05 79 90 10 20,"4, avenue Sébastien Baron, 55702 Loiseau-sur-Perrier",3,2,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,7.1
ED3F8F9C,De Oliveira,Margot,1990-03-15,2015-03-09,margot.de oliveira@company.com,0695947039,"6, rue Bertrand Jourdan, 70925 Blanc-sur-Vallée",4,1,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Opérateur,Débutant,Opération des machines de base,Formation technique de base,10.1
EE96FCB9,Torres,Anouk,1992-03-14,2022-03-07,anouk.torres@company.com,02 19 87 90 48,"avenue de Perez, 97375 Courtois",5,2,,Équipe R&D,Recherche et développement,Thomas Petit,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,3.1
EFD44AA7,Barthelemy,Margaud,1994-03-14,2023-03-07,margaud.barthelemy@company.com,05 55 65 34 79,"3, rue Susan Navarro, 76443 Saint Martine",6,8,1.0,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Ingénieur,Senior,Conception et amélioration des process,3 ans d'expérience en ingénierie,2.1
